Fecha	PAH
1.61E+03	             NaN
1.61E+03	5.00
1.61E+03	             NaN
1.62E+03	             NaN
1.62E+03	             NaN
1.62E+03	             NaN
1.62E+03	             NaN
1.62E+03	             NaN
1.62E+03	             NaN
1.62E+03	12.00
1.62E+03	             NaN
1.62E+03	             NaN
1.62E+03	             NaN
1.63E+03	             NaN
1.63E+03	             NaN
1.63E+03	             NaN
1.63E+03	             NaN
1.63E+03	             NaN
1.63E+03	             NaN
1.63E+03	             NaN
1.63E+03	             NaN
1.63E+03	             NaN
1.63E+03	             NaN
1.64E+03	             NaN
1.64E+03	             NaN
1.64E+03	3.00
1.64E+03	             NaN
1.64E+03	             NaN
1.64E+03	             NaN
1.64E+03	             NaN
1.64E+03	             NaN
1.64E+03	             NaN
1.64E+03	             NaN
1.65E+03	10.00
1.65E+03	             NaN
1.65E+03	             NaN
1.65E+03	             NaN
1.65E+03	             NaN
1.65E+03	             NaN
1.65E+03	             NaN
1.65E+03	             NaN
1.65E+03	10.00
1.65E+03	             NaN
1.66E+03	             NaN
1.66E+03	             NaN
1.66E+03	             NaN
1.66E+03	             NaN
1.66E+03	             NaN
1.70E+03	             NaN
1.70E+03	17.00
1.70E+03	             NaN
1.70E+03	             NaN
1.70E+03	             NaN
1.71E+03	             NaN
1.71E+03	             NaN
1.71E+03	             NaN
1.71E+03	             NaN
1.71E+03	8.00
1.71E+03	             NaN
1.71E+03	             NaN
1.71E+03	             NaN
1.71E+03	             NaN
1.71E+03	             NaN
1.72E+03	             NaN
1.72E+03	             NaN
1.72E+03	8.00
1.72E+03	             NaN
1.72E+03	             NaN
1.72E+03	             NaN
1.72E+03	             NaN
1.72E+03	             NaN
1.72E+03	             NaN
1.72E+03	             NaN
1.73E+03	6.00
1.73E+03	             NaN
1.73E+03	             NaN
1.73E+03	             NaN
1.73E+03	             NaN
1.73E+03	             NaN
1.73E+03	             NaN
1.73E+03	             NaN
1.73E+03	6.00
1.73E+03	             NaN
1.74E+03	             NaN
1.74E+03	             NaN
1.74E+03	             NaN
1.74E+03	             NaN
1.74E+03	             NaN
1.74E+03	             NaN
1.74E+03	14.00
1.74E+03	             NaN
1.74E+03	             NaN
1.74E+03	             NaN
1.75E+03	             NaN
1.75E+03	             NaN
1.75E+03	             NaN
1.75E+03	             NaN
1.75E+03	7.00
1.75E+03	             NaN
1.75E+03	             NaN
1.75E+03	             NaN
1.75E+03	             NaN
1.75E+03	             NaN
1.76E+03	             NaN
1.76E+03	             NaN
1.76E+03	10.00
1.76E+03	             NaN
1.76E+03	             NaN
1.80E+03	             NaN
1.80E+03	             NaN
1.80E+03	             NaN
1.80E+03	             NaN
1.80E+03	             NaN
1.81E+03	11.00
1.81E+03	             NaN
1.81E+03	             NaN
1.81E+03	             NaN
1.81E+03	             NaN
1.81E+03	             NaN
1.81E+03	             NaN
1.81E+03	             NaN
1.81E+03	12.00
1.81E+03	             NaN
1.82E+03	             NaN
1.82E+03	             NaN
1.82E+03	             NaN
1.82E+03	             NaN
1.82E+03	             NaN
1.82E+03	             NaN
1.82E+03	3.00
1.82E+03	             NaN
1.82E+03	             NaN
1.82E+03	             NaN
1.83E+03	             NaN
1.83E+03	             NaN
1.83E+03	             NaN
1.83E+03	             NaN
1.83E+03	8.00
1.83E+03	             NaN
1.83E+03	             NaN
1.83E+03	             NaN
1.83E+03	             NaN
1.83E+03	             NaN
